DESCRICAO,APRESENTACAO,QUANTIDADE,TOTAL_BRUTO,TOTAL_LIQUIDO,PROD_SALDO,VALOR_ULT_COMPRA
MAXITROL COLIRIO 5 ML,5 ML,28,"466,4799957","373,2399979",6,"12,72000027"
SALONPAS EMPLASTRO MEDIC.GRANDE,HISAMITISU FARM.GRANDE C/2,66,"466,0000038","409,3600068",7,"4,545000076"
ADDERA D3 7000 10 COMP,7.000ui cx 10 comp rev,10,"465,7300148","372,560009",1,"39,54000092"
PAMP SUPERSEC PCTAO M 30UN,,25,"462,5","462,5",0,"18,68330002"
PATANOL S,"2,5 ML",8,"462,1200104","369,6799927",1,"43,88000107"
OPTIVE SOL ESTERIL 10 ML ,,10,"461,480011","369,1600037",3,"40,81000137"
CANDICORT POMADA DERM. 30 G,,16,"459,5400047","367,5799904",-1,"21,68000031"
MAXSULID 400 MG ,10 COMPRIMIDO,14,"458,2500038","366,550005",0,"25,5"
SIMETICONA 125MG C/10 CAPS MOLES ,,29,"458,2000055","236,2000027",1,"2,859999895"
CIALIS,20MG CX 8 COMP,1,"457,0100098","342,7600098",1,"315,3099976"
PLAQ,75mg cx 30 comp rev,8,"454,6600113","374,4500008",1,"39,16999817"
FLOMICIN 100MG 12CAP,100mg fr 12 cap,12,"452,1600037","237,2400017",0,"10,64000034"
ZYXEM,5mg fr gts 20ml,8,"450,3200073","360,2399902",2,"45,34999847"
RITMONEURAN,20 CAP,12,"449,7900009","247,2700081",13,"8,733300209"
BUSONID 50MCG AQUOSO NASAL 120 DOSES,50MCG SUSP AQU NASAL X120DS                       ,14,"448,4399872","358,739994",3,"22,37999916"
NATELE,30COMP,10,"447,0400009","357,659996",1,"32,70000076"
COMPLEXO B,FR 100 DRG,13,"446,5000114","244,2700062",14,"12,14439964"
TADALAFILA 20MG 4 COMP,20mg cx 4 comp,3,"439,3900146","219,7000046",0,"21,5"
PREGNOLAN INJ 1ML,150mg/ml 10mg/ml sol inj amb x 1ml,27,"439,1100082","227,5400114",-1,"4,829999924"
FLUXON 75 MG.C/30 COMPR.(CINARIZINA),75 MG.C/30 COMPR.,30,"438,7600002","226,6500001",20,"7,050000191"
PANTOPRAZOL 40MG 28 COMP,40mg cx 28 comp,6,"438,679985","257,1900063",0,"11,39999962"
PRIMERA 20MCG C/63 COMP,,7,"438,0300026","350,4300041",2,"46,65000153"
ATROVENTE GOTAS 20 ML          *,GTS 20 ML NEBULIZACAO,20,"437,3600082","349,840004",7,"16,9633007"
GASTROL,20BL X 10 PAST,3,"436,3800201","218,1900101",1,"44,06999969"
ALLESTRA 20 ,63 COMP,7,"435,1299896","348,0799904",1,"45,22000122"
NAPRIX A,10+5MG CX 30 CAP,8,"434,0799866","347,2799988",2,"39,72000122"
NITRATO DE MICONAZOL,20mg/g crem vag ct x 80g c/ 14 apl,18,"433,2300053","223,7800026",4,"9,574999809"
NISULID (NIMESULIDA 100 MG),12 COMPRIMIDOS,9,"432,8799973",332,2,"36,38000107"
TAMISA 30,63 COMP,7,"432,4599915","345,9399872",-1,"46,63000107"
KALONAT 10ML - NATULAB LABORATORIO LTDA,,13,"431,989994","216,02001",6,"7,096700191"
SAL DE FRUTA ENO 100 G,"100 G ""VIDRO""",22,"431,1399822","348,750001",9,"15,43330002"
FLEXALGIN 30COMP,300+125+50+30mg cx 30 comp,13,"430,920002","215,460001",1,"4,989999771"
MONTELAIR 4MG 30 SACHES,4mg gran 30 saches x350mg,6,"430,2799835","344,2199936",1,"54,36999893"
EXIMIA FIRMALIZE 30 SACHES,firmalize  age complex 30 sach 13g,3,"429,480011","300,6399994",0,"93,51999664"
PRESERV.JONTEX SENSITIVE LUB.C,,87,"426,3000083","426,3000083",259,"33,29999924"
ACIDO MEFENAMICO,500mg cx 24 comp,22,"426,1599846","224,8499966",1,"7,517499924"
BENICAR HCT,"20+12,5mg cx 30 comp rev",7,"424,920002","351,779995",2,"42,25999832"
VERTIX COMPR. C/50,"ACHE""50 COMPR.",14,"424,5400047","330,3099957",-1,"21,86000061"
NEOPIRIDIN,SPRAY FR 50ML,15,"424,3899937","259,7899952",4,"9,109999657"
BEB.VINHO GALIOTTO ,TINTO SUAVE 1X2 LT,13,"423,1499901","279,9200096",0,"30,90999985"
OMEPRAZOL,20mg cx 28 cap,23,"421,359993","210,6799965",2,"1,99000001"
LORATADINA,1mg/ml xpe fr 100ml+cm,18,"420,9499989","210,5600014",6,"5,784500122"
BUONA 150MG 30 CAP,150mg cx 30 cap,4,"416,5200043","333,2300034",1,"78,33999634"
DRUSOLOL COL 5ML,"2+0,5pcc sol oft fr 5ml",6,"414,6900101","331,7700081",1,"50,22999954"
ARLIVRY 100ML 7MG CEREJA - NATULAB LABORATORIO LTD,,8,"413,519989","232,6400013",0,"6,489999771"
ADDERA D3,3300ui/ml sol oral fr got 20ml,6,"412,6900024","330,1500015",1,"54,90999985"
KALOBA,SOL ORAL FR 20ML,6,"411,9599991","342,6599998",3,"53,52999878"
GLIFAGE XR 500MG C/30 COMP,,48,"409,9400043","324,7100043",7,"5,820000172"
ANTUX XAROPE 120 ML.,"XAROPE 120 ML. 0,6%",13,"409,9399929","327,9400005",3,"23,61000061"
PROFENID GOTAS 20 ML,,14,"407,8200073","321,909996",2,"22,11000061"
SIMETICONA,125mg cx 10 cap,27,"406,6200113","210,8400059",0,"4,989999771"
DEXA-CITONEURIN NFF,"100+100+5+4,37mg sol inj 3 amp 1ml",11,"405,6800117","318,9799995",1,"28,03000069"
DESLORATADINA,"0,5 mg xpe ct fr vd amb x 60 ml +",12,"405,3100052","212,7300014",10,"9,550000191"
CENTRUM MULHER,fr x 30 comp,6,"405,1199799","336,2700005",2,"47,59000015"
DIUPRESS 25 MG COMPR. C/20,C/20 COMPR,19,"403,6300068","317,6099911",0,"15,84000015"
NOVALGINA,1g cx 10 comp,22,"403,6200104","322,8600044",1,"15,25500011"
MICROPIL  R 21 C/21 COMPR. ,R 21  SIGMA,15,"402,8499985","314,4500065",1,"20,68000031"
NOCICLIN C/21 COMPRIMIDO,C/21 COMPRIMIDO,37,"401,8200054","297,4899931",-1,"2,6875"
FRALDA GERIATRICA CONFORT MASTER REGULAR G 8UN (1-,,21,399,"357,1999979",-6,"95,93000031"
GUTTALAX 30ML,"7,5mg/ml sol or fr 30ml",23,"398,890007","322,6099968",-1,"13,28999996"
LEITE MAGNESIA PHIL 120ML,,39,"398,4500074","350,0000076",-1,"8,93999958"
CLORIDRATO DE HIDROXIZINA,25mg cx 30 comp,14,"397,920002","207,5600014",3,"7,440000057"
BETROSPAM,sus inj cx 1amp x 1ml,20,"395,2000046","197,6000023",8,"7,019999981"
BACTRIM F. COMPR. C/10         *,F CX COM 10 COMPRIMIDOS,15,"394,9099998","315,8999958",2,"20,13330078"
NOVAMOX 2X  100 ML  400 MG/57 MG,"2X""100 ML"" 400MG/57MG",4,"394,909996","315,9399948",2,"71,5"
XAROPE VICK 44E 120 ML,VICK 44E 120 ML,18,"394,5600128","320,1700153",5,"14,53999996"
STEZZA,"2,5+1,5mg  cx 3bl x 28 comp",3,"390,9399872","312,7600021",0,"98,23999786"
SOMALGIN CARDIO 100MG 60 COMP RE,,12,"390,0699997","312,0600052",0,"25,01000023"
ANGIPRESS CD,"50+12,5mg cx 30 comp",14,"386,3300037","309,0300083",1,"20,88999939"
DIGESTIL 10MG 20COMP,10mg bl bco 20 comp,23,"385,5600166","192,7900085",0,"5,784999847"
ZINA,5MG,10,"382,7800064","306,220005",2,"29,70000076"
PURAN 50 MG.C/30 COMPR.,50 MG.C/30 COMPR.,27,"381,7200041","307,9399986",3,"10,65330029"
SYNTHROID,137mcg cx 30 comp,9,"378,849987","307,7199936",0,"32,63000107"
SIMETICONA,75mg fr gts 15ml,29,"378,4500055","199,8000054",1,"2,160000086"
PRELONE,20MG CX 10 COMP,14,"376,9800034","301,5999985",3,"20,44000053"
MERITOR,2+1000mg cx 30 comp rev,7,"376,5699997","301,2499924",1,"32,33000183"
FLUCONAZOL 150MG 2 COMP,150mg bl cx 2 comp,24,"374,6399918","187,4399986",2,"2,654999971"
ALLESTRA 30,"0,075+0,0,30mg cx 3bl x 21 drg",6,"373,3499908","298,6599922",1,"45,22000122"
BUSONID 32MCG,6 ML,17,"372,8599892","298,2599945",4,"15,23999977"
MYLANTA PLUS LIQUIDO 240 ML TRAD.,LIQ.240 ML PFIZER TRAD.,13,"372,5899906","298,1200085",2,"22,67000008"
CANDICORT CREME DERM. 30 G,,13,"372,3500023","297,8399925",1,"21,68000031"
FIXARE CPR 1X60-DEMAIS PROD,,4,372,"334,8000031",0,"104,5400009"
NITROFIGAN C/60 FLAC 10ML S/ACUCAR MED,,3,"371,519989","185,7599945",1,"38,20999908"
CERUMIN SOL. OTOL. 8 ML,OTOLOGICO 8 ML,29,"370,9000072","299,180006",3,"10,24499989"
TREMOMETRO DIGITAL TERMO MED BRASIL,COMTEM 1 TERMOMETRO,22,363,"323,3999977",47,"9,359999657"
NITAZOXANIDA 500MG 6 COMP,500mg cx 6 comp rev,7,"361,3400078","243,8900051",1,"19,36000061"
DESOD AERO DOVE ORIGINAL 89G-150ML (1-UN),,19,361,"300,7999973",7,"9,069999695"
CECLOR BD 500MG,10 COMPRIMIDOS,5,"360,7500076","288,6000061",0,"52,18999863"
KIT BIO SOAK SOL LENTE CONTATO 360+120ML,,9,360,288,6,"23,85000038"
CUTISANOL GEL 100 G,,7,"359,9399872","291,8399963",2,"40,90999985"
NATURETTI CAPS. C/16,C/16 CAPS,8,"359,8600044","296,8299904",3,"31,29000092"
OPTI FREE EXPRESS 355+120ML+PORTA LENTE-REFERENCIA,,8,"359,0400085","318,6400089",3,"32,61000061"
COREGA PO 22G,po lc fr 22g,26,"358,2999983","319,469995",7,"10,43000031"
MERCILON,150+20mcg cx 3bl x 21 comp,3,"351,7200012","302,1800003",1,"85,29000092"
PURAN T4,88MCG CX 30 COMP,19,"351,6199989","282,7800016",7,"14,00500011"
AVAL,320mg cx 30 comp rev,9,351,"280,8000069",0,"26,52000046"
NEUTROGENA SUNFRES FPS70 200ML,,5,"349,5000076","307,5599976",2,"43,83000183"
VASOGARD 100 MG C/60 COMPR.,100MG CX 60 COMP                                  ,6,"348,6000061","281,8700027",1,"41,97000122"
CONCARDIO,"1,25mg cx 30 comp rev",7,"348,5999947","276,3899994",2,"36,02000046"
CLORIDRATO DE NARATRIPTANA,"2,5mg cx 4 comp rev",28,"347,6599913","279,4499922",30,"8,090000153"
"CONCARDIO 2,5MG 30 COMP","2,5mg cx 30 comp rev",6,"346,7200012","287,9099998",-1,"41,49000168"
"CLORIDRATO DE TANSULOSINA 0,4MG 30 CAPS","0,4mg cx 30 cap",2,"345,7599945","172,8799973",1,"52,09999847"
DERMOSALIC POM 30G,30g pom bg,11,"344,7799988","172,4100037",0,"9,550000191"
COTONETES JOHNSONS C/75 UNID.,7891010000000,103,"342,9499965","310,8999994",23,"2,349999905"
CLORIDRATO DE AMBROXOL,30mg+5ml xpe fr 120ml adu,14,"342,8599968","171,5",14,"5,480000019"
DEXALGEN AMP.(3 DOSE ),CX.(3 DOSES ),23,"342,8099947","261,7599974",12,"11,60330009"
FENOFIBRATO 200MG 30CAPS,200mg cx 2bl x 15 cap,4,"341,6299973","205,3499985",-1,"41,90000153"
ADIPEPT,20mg cx 28 comp rev,6,"341,2699928","279,0200081",1,"29,40999985"
LACTULIFE AMEIXA 120ML ,,9,"341,1999931","190,9999962",0,"9,640000343"
NASONEX,60 DOSES,6,"341,0300026","272,7999954",2,"41,33000183"
COLIDIS 5ML,fr x 5 ml,4,"340,2400055","272,1999969",1,"67,23999786"
DIP BETAMETASONA+ACIDO SALICILICO,"0,5+30MG/G POM DER BG 30G",17,"340,1700039","176,1700039",4,"6,356699944"
OHDE 2000UI 30 COMP,2000ui cx 30 comp MO,7,"337,4000053","274,7400093",1,"35,88000107"
TAMISA,"0,75+0,30mg cx 84 drg",4,"336,6999969","269,3600006",1,"62,18000031"
CEFALIUM COMPR. C/12,,16,"335,4900055","268,3499928",2,"16,26000023"
NATUCLER,C\60 FLAC,3,"334,8300018","167,4300041",6,"26,79000092"
NAPRIX A 10MG +10 MG,30 CAPSULAS,6,"332,5599937","266,0499992",1,"41,43000031"
MIO NEVRIX  C/20 COMPR,C/20 COMPR,11,"332,0900059","233,9400043",1,"22,86000061"
BROMETO DE IPATROPIO,SOL NAS FR 20ML,33,"331,619997","193,8099966",51,"2,627500057"
UTROGESTAN,200mg cx 14 cap,6,"331,4000015","265,1200027",2,"42,59999847"
"CARVEDILOL 6,25MG 60COMP","6,25mg 4bl x 15 comp",5,"331,1500168","205,3199959",1,"15,56999969"
COMBI AD 30ML,susor fr 30ml+pipeta,10,330,"262,3499966",0,"24,55999947"
DOSE D 10ML,sol oral fr 10ml sb maca verde,11,"329,7299976","271,4599953",1,"24,73999977"
SAL DE FRUTA ENO 1 ENV.,CX.C/60 ENV.,220,"329,2000008","227,7999988",515,"1,021700025"
SUCRAFILM 2G/10 ML 20 FLACONETES,2G/10 ML 20 FLACONETES,4,"329,0799866","263,2799988",3,"64,38999939"
ACEBROFILINA 5MG XPE 120ML,5mg/ml xpe fr 120ml+cop,16,"329,0400105","170,6299953",4,"5,360000134"
DIGESTIL(BROMOPRIDA) GOTAS,BROMOPRIDA TEUTO GOTAS 20 ML.,21,"327,7200031","163,8600016",59,3
PIEMONTE,5mg cx 30 comp mast,6,"327,7199936","262,2000046",1,"39,50999832"
TARGIFOR C EFERV. COMPR. C/16,C/16 COMPRIMIDOS,7,"327,2399979","261,7900009",3,"35,47000122"
DECNAZOL (SECNIDAZOL) 1000 MG C/2,SECNIDAZOL PHARLAB 1000 MG C/2,14,"326,7600021","163,3800011",-2,"4,415800095"
HYTOS PLUS GOTAS 15 ML.,HYTOS PLUS GOTAS 15 ML.,13,"326,2200031","238,5000019",3,"13,71000004"
ZERO CASPA (CETOCONAZOL 20MG /ML),SHAMPOO FR 100ML,6,"321,5400009","160,7400055",5,"10,22000027"
UROVIT 200 MG,18 DRAGEAS,19,"321,1200008","246,7299976",5,"7,929999828"
PURAN 25 MG C/30 COMPR.,25 MG C/30 COMPR.,25,"319,0299911","248,7500057",2,"9,623299599"
CLORIDRATO DE METFORMINA,30 COM,62,"318,2600069","284,4500039",20,"3,480000019"
VITAMIN E 400 MG/CA 30 CA ACETATO RAC NAT,,7,"317,3300095","200,2600021",1,"16,11000061"
FINASTERIDA 1MG 60 COMP,1mg cx 60 comp rev,3,"317,25","158,6099968",1,"11,06499958"
NORIPURUM,30 COMPRIMIDOS,6,"317,0400009","253,6199951",1,"41,13999939"
PARACETAMOL,200mg sol oral fr gts 15ml,35,"316,3999987","163,6199994",-4,"2,012799978"
TROPINAL COMPR. C/20           *,,17,"314,8599892","251,8199978",4,"14,39000034"
PHITOSS XPE AD/PED C/100ML (BRAST),,8,"314,2399902","157,1199951",-1,"8,492500305"
CAMOMILINA C (20 CAPS),20 CAPS,7,"312,7600021","250,1800117",1,"39,41999817"
DOMPERIX,1mg/ml sus or fr 100ml+1ser dos,9,"312,7100143","250,1399994",3,"27,05999947"
DICLORIDRATO DE BETAISTINA 24MG 30COMP,24mg cx 30 comp,11,"310,3000069","208,710001",5,"9,529999733"
VICK VAPORUB 50 G,50 GR,9,"308,8800049","247,1299953",1,"29,06999969"
FLUCONAZOL,150mg cx 1 cap,33,"308,8799887","168,4799938",3,"1,919999957"
MELOCOX 15 MG,10 COMPRIMIDOS,9,"306,390007","251,8600044",1,"25,56999969"
ANGIPRESS CD,25+12mg cx 30 comp,17,"305,5099983","247,9999981",7,"13,48999977"
ESALERG,"0,5mg xpe fr x 60ml+ser dos",9,"305,279995","244,1999989",1,"25,37999916"
DICLORIDRATO DE BETAISTINA 24MG 30 COMP,24mg cx 30 comp,11,"304,5800037","172,7300014",4,"9,319999695"
BRONCHO-VAXOM 7MG,10 CAPSULAS,4,"302,9200134","257,4700089",2,"55,70000076"
PURAN 125 MCG.C/30 COMPR.,C/30 COMPR.125 MCG.,17,"302,0699844","241,6900005",6,"12,56499958"
BISSULFATO DE CLOPIDOGREL 75MG 30 COMP,75mg cx 30 comp rev,3,"301,5899963","150,7999992",1,"26,65999985"
DESTADIN,5mg cx 30 comp rev,3,"301,5599899","150,779995",1,"38,29999924"
PYR PAM SUSP. 40 ML,40 ML LIQUIDO,12,"301,3000031","241,0000038",7,"16,45999908"
FLORENT,200MG 4 SACHES PO X 1G,12,"300,6300087","150,3100004",4,"5,989999771"
CERAZETTE,75mcg cx 3bl x 28 comp,3,"300,5500031","240,4400024",4,"77,26999664"
CETOCONAZOL 200MG 30 COMP,200mg cx 30 comp,4,"300,3599854","150,1899986",0,"8,229999542"
BUTACID 200MG. 10COMP,200mg cx 200 drg emb hosp,2,"300,1199951","150,0599976",1,49
BRONCHO-VAXOM,"3,5mg po gran cx 30 saches",2,"300,0100098","240,0100021",0,"112,6600037"
MINANCORA POM 30G,,32,"299,9900112","256,25",5,"7,179999828"
ACIDO MEFENAMICO 500MG 24 COMP,500mg cx 24 comp,15,"299,9699898","180,0199986",2,"6,75"
LABEL 15MG XPE+COP+SER DOS-SIMILAR,,7,"299,5000038","239,6200027",3,"31,13999939"
REMOV. A BASE ACETONA 100ML FARMAX - FARMX,,149,298,298,226,"1,539999962"
DUSPATALIN 200MG 60 CAPS,200mg 60 cap,1,"296,6700134","237,3399963",0,"223,5700073"
CAPTOPRIL 5MG 30 COMP,25mg cx 30 comp,10,"296,3999939","148,159996",-1,"4,873300076"
ADDERA D3,1.000ui comp rev x 30,7,"296,1999893","236,9599915",2,"31,89999962"
TRANSAMIN C/12 COMPRIMIDOS,"250 MG""NIKKHO",5,"295,7599945","242,8399963",1,"46,79999924"
ORLISTATE,120mg 4bl x 21 cap,1,"295,5400085","147,7700043",0,"117,1299973"
PURAN T4,"62,5mcg cx 30 comp",22,"295,5000038","245,5400066",2,"10,15999985"
BEPANTOL LIP CREAM,"7,5 ml",12,"295,2000046","275,5200043",0,"15,81000042"
UMCKAN,825mg sol or fr gts 20ml,5,"295,1899948","241,0200005",1,"46,63000107"
ANNITA 20 MG/ ML SUSPEN��O ORAL,45 ML,9,"293,7000084","241,3800011",3,"25,37999916"
FLORENT 200MG 6 CAPS,200mg cap dura tb plas x 6,8,"292,0799866","180,75",0,"9,890000343"
NOVACORT POMADA 30 G,"ACHE""30 GR POMADA",10,"292,039999","233,6400013",2,"22,77000046"
HIXIZINE XAROPE 120 ML,120 ML 2 MG/ML,7,"291,9699936","241,9299927",1,"29,40999985"
GRIPEOL 100 ML SOLUCAO ORAL,CIFARMA SOLUCAO ORAL,12,"291,1200027","145,5600014",0,"6,751599789"
PURAN 100 MG C/30 COMPR.,100 MG C/30,24,"289,1699924","231,3500099",5,"9,086700439"
CYSTEX DRG C/24.,DRG C/24.,15,"286,9499874","227,4700022",9,"14,97000027"
- ORLISTATE 120MG 84 CAP ,,1,"286,1099854","143,0599976",0,"92,41999817"
PAMP SUPERSEC PCTAO G 26UN,,13,286,286,1,"17,66830063"
BEPANTOL BABY 120G-DEMAIS PROD,,6,"283,5","236,2499962",2,"24,98999977"
CIPIDE,100mg cx 30 comp,5,"280,3499985","224,2900009",0,"39,29999924"
CALMAN C/20 DRAG.,POPULAR,10,"279,9400063","223,9199944",6,"26,23999977"
DEPO PROVERA,150MG INJ FA X 1ML PRE-ENCH,6,"278,7599945","227,7799988",10,"35,83000183"
NOEX,50mcg dose susp nas fr 200 doses,5,"277,8499947","222,2900009",0,"40,88000107"
NISTATINA SUSP 50ML,100000ui/g sus oral fr 50ml,12,"277,8399963","138,9199982",1,"6,72329998"
PAMP SUPERSEC PCTAO G 26UN,,15,"277,5","277,5",17,"18,68000031"
CELESTRAT C/15 COMPR.,C/15 COMPR.,19,"276,6999969","153,0599985",16,"4,269999981"
ADOLESS 3 CART C/28 COMP,,3,"276,1600037","220,9399948",3,"66,93000031"
SIGMA CLAV BD SUSP.70 ML 400/57 MG,"400MG.+57,0 MG/5 ML",5,"275,4999924","220,4000092",2,"39,86000061"
MACRODANTINA,100MG CX 28 ACP,23,"274,3599997","236,7699957",1,"9,210000038"
SAL DE FRUTA ENO,CX 30 ENV DUPLO SB LARANJA,3,"273,2999954","192,0800056",29,"61,31000137"
DIP BETAMETASONA+ACIDO SALICILICO,"0,64+20MG/ML SOL GTS FR 30ML",11,"273,2400017","136,6200008",36,"7,09250021"
PRESERV.JONTEX LUBRIFICADO C3,,92,"272,3200035","271,7300034",241,"27,47999954"
"ATACAND COMB 16+2,5MG 30 COMP","16+2,5mg cx 30 com lib prol",3,"272,2199936","208,7099915",0,"68,05999756"
OHDE,50000ui cx 4 comp MO,3,"272,1900101","208,6800079",0,"66,98999786"
DAKTARIN GEL ORAL 40 GR,GEL ORAL 40 GRAMAS,8,"271,9200134","217,5200043",1,"23,85000038"
ESPARADRAPO IMP. MISSNER," 10CMX4,5MT",30,270,"257,3999996",24,8
BAND-AID TRANSPARENTE,40 UNIDADES,51,"269,7899981","268,7299981",13,"5,690000057"
LABIRIN 24MG 30 COMP,24MG CX 30 COMP,6,"268,8899918","215,1299973",0,"33,20999908"
ESALERG,"1,25mg/ml sol oral fr gts 20ml",8,"266,6100082","213,2899952",1,"25,79000092"
CITONEURIN 5000MCG DRG 1X20-REFERENCIA,,5,"265,9900055","212,779995",1,"38,15999985"
MASSAGEOL AEROSSOL 120 ML.,NEO QUIMICA,7,"265,7600021","144,6099987",1,"11,60999966"
PROCTAN HEMORROIDAS 25GR,,11,"265,4299908","260,5999908",1,"26,86000061"
ARTEMIDIS 35 C/21 COMP.R,"0,035MG+2MG 1BL X 21 COMP                         ",17,"265,1999931","207,4700022",0,"11,68999958"
NESINA 25MG 30COMP.,25mg cx 30 comp rev,3,"264,4500046","211,5599899",-1,"66,73000336"
ROSUVASTATINA CALCICA,10mg cx 30 comp rev,5,"261,7499924","130,8500004",0,"24,13999939"
PROCTOSAN POMADA,20 GR-KR,6,"261,4500046","143,7900047",2,"11,6267004"
ZETSIM 10/40MG 30 COMP,10+40mg cx 30 comp,2,"260,2200012","208,1799927",0,"93,33999634"
DUOFLAM C/1 AMPOLA + SERINGA ,"6,43MG+2,63MG-AP 1ML+SERINGA                      ",12,"260,2199936","208,1999931",-1,"15,22000027"
DTN FOL 400MCG+10MG 90 CAPS,,4,"259,9900055","207,989994",1,"49,95000076"
TROK-N,"20+0,5+2,5mg creme bg 30g",9,"259,1399975","207,3000069",4,"22,21999931"
PAMP SUPERSEC PCTAO P 34UN,,14,259,"255,3000002",2,"18,68000031"
PAMP SUPERSEC PCTAO XG 22UN,,14,259,"251,6000004",1,"17,47500038"
LISON 120MG C/30 COMP REV ,,3,"258,9900055","155,3999939",1,"19,79000092"
MELOXICAM 15MG 10 COMP,15 mg x 10 cpr,10,"258,0999947","149,7399979",2,"4,434999943"
GLIMEPIRIDA,4mg cx 30 comp,4,"257,5699997","150,0900002",1,"10,47999954"
MICROPIL CPR REV 1X63-SIMILAR,,5,"256,5699997","205,2700005",0,"38,45000076"
ASPIRINA PREVENT 100 MG 30 COMPR,100 MG PREVENT,15,"255,7499886","208,0200052",1,"12,95499992"
CELETIL,"2+0,25mg/5ml xpe fr 120ml",9,"255,5199986","127,7699995",4,"5,449999809"
PROSSO,"250+2,5mg cx 30 comp",3,"255,5099945","204,4199982",1,"64,69000244"
SIMETICONA,125mg cx 10 cap,16,"255,3600006","127,6800003",5,"4,851250172"
SONRISAL TRAD.,2 COMP DUPL EFV SB TRAD,27,"254,7199987","187,4200046",6,"37,59999847"
MUSCULARE 10MG,15CONP,16,"254,3900032","203,5699987",1,"12,35000038"
MONTELAIR,4mg cx 30 comp,5,"254,2000008","203,3400002",0,"36,58000183"
BECLONATO,"5,0+2,0mg/ml sus inj x 1ml + ser",13,"254,1699905","136,909996",7,"5,605000019"
COBAVITAL COM. C16,,16,"253,8799973","206,2400026",3,"12,53499985"
DECONGEX PLUS COMPRIMIDOS C/12,COM REV CT BL X 12,12,"253,4199924","202,7499962",2,"16,22999954"
TORANTE 100ML,15mg xpe fr 100ml+cm,6,"253,2600021","210,9400024",2,"32,31999969"
RUPAFIN 10MG C/10,10MG C/10,4,"253,2299995","202,5699959",1,"49,25"
ACICLOVIR CREME 10G,50mg creme bg 10g,12,"253,2000046","137,1500025",0,"5,110000134"
ALCOOL 92.8% 1 LTR,,21,252,"241,9000015",7,"7,960000038"
DRAMIN B6,30 COMP,14,"251,4000092","199,3399954",3,"13,98999977"
"TRAVATAN COL. 2,5ML","0,04mg/ml sol oft fr gts 2,5ml",2,"251,2200012","200,9799957",0,"94,19999695"
PENTALAC XAROPE 120 ML,LACTULOSE 120 ML,7,"249,6899872","187,25",0,"22,94000053"
SALICETIL,100mg cx 200 comp,7,"249,1300011","124,5300064",0,"9,43999958"
IBUPROFENO,100mg sus or gts fr 20ml,10,"248,8999939","124,4999981",0,"3,900000095"
TYLENOL DC C/20 COMPR.,C/ 20 COMP. DC,10,"248,0200024","198,4499989",3,"17,84000015"
BIOTONICO FONTOURA 400 ML,,9,"247,8600082","198,2700062",4,"21,95999908"
PRIMERA 30MCG C/63 COMP,,4,"247,2500038","197,8100014",3,"44,70999908"
DALYNE,"3+0,03mg cx 3bl x 21 comp rev",2,"246,5700073","197,2600021",0,"84,93000031"
HIXIZINE 25 MG.C/30 COMPR.,25 MG.C/30 COMPR.,6,"245,7000046","196,5599899",1,"29,18000031"
BUCLINA,25mg cx 30 comp,17,"244,0099993","195,2499971",4,"11,17000008"
SORO FISIOLOGICO 500ML ARBORETO,,61,244,244,-17,"41,99000168"
MINILAX  C 7 BISN,,7,"243,9200058","195,1100044",4,"26,90500069"
"LASIX   C/20 COMPR.40 MG ""HOECHST""",40 MG C/20 COMPRIMIDOS,14,"243,8899956","195,119998",1,"13,09500027"
NATSEPT SPRAY 50ML CLOREXIDINA 10MG/ML,,12,"243,7199936","138,1399984",6,"4,639999866"
SINTOCALMY,20 COMPRIMIDOS,7,"243,4800034","194,789999",3,"27,12999916"
TENOXIL 20 MG C/10 COMPR,"TENOXIL""C/10 COMPRIMIDOS",11,"243,2800083","131,0000038",8,"7,224999905"
SALSEP 360,9mg sol or fr 50ml,11,"242,7799969","194,220005",1,"17,29500008"
PRESERVATIVO BLOWTEX MORANGO C/3,BLOWTEX MORANGO,121,242,242,174,"1,75999999"
- BETAISTINA DICLOR 24MG 30 CPS / GEN DICLORIDRATO,,9,"241,5600014","144,9400024",0,"10,65670013"
AVADEN,"1+1+0,025mg cx 28 comp rev",4,"240,6000061","186,4599991",1,"44,38999939"
SIMETICONA,125mg cx 10 cap,15,"240,3000069","120,1500034",4,"4,172500134"
RANITIDIL,150mg cx 20 comp,9,"239,2199993","119,6099997",1,"5,321700096"
TENOXICAM 20MG 10 COMP,20mg cx 10 comp rev,6,"237,8399963","118,9199982",1,"6,875"
ZARMINE,50mg cx 30 comp rev,5,"236,9299965","189,5300064",0,"33,68000031"
CISTEIL,600mg cx 16 env x 5g,4,"236,1600037","118,0800018",1,"10,98999977"
NEOVLAR,"0,25mg+0,05mg cx 21 drg",35,"235,6000018","195,2199974",48,"5,06829977"
HIDRAPLEX PO,"27,9 AGUA DE COCO",7,"234,6300049","117,3500004",11,"4,804599762"
ALOPURINOL,300mg cx 30 comp,8,"231,9600029","115,9700012",4,"8,260000229"
NORDETTE 150/30MG,3 BLISTERES COM 21 DRAGEAS,9,"231,1199989","184,8899994",1,"19,61000061"
AP PRESTOBARBA ULTRA GRIPE FIXO AZUL 2UN (10-UN),,4,"230,8000031","178,8799973",3,"43,04999924"
SIMETICONA GOTAS 15ML,75mg emul oral fr 15ml,27,"230,0999937","130,3299956",3,"2,416699886"
